S.NO,MODEL,Trim,Year,Mileage Done,Color,Drive Train,Location (State),Price in USD
289,F-150,Harley-Davidson,2001,"37,696",Black Clearcoat,Rear-Wheel Drive,"Victoria, TX","37,696"
290,F-150,Harley-Davidson,2001,"40,742",Black,Rear-Wheel Drive,"Uniontown, PA","$29,900"
291,F-150,N/A,2001,"43,420",White,N/A,"Medina, OH","$8,995"
292,F-150,XLT,2001,"84,877",Red (Burgundy),Rear-Wheel Drive,"Virginia Beach, VA","$10,800"
293,F-150,N/A,2001,"75,348",Blue,N/A,"Houston, TX","$8,900"
294,F-150,XL,2001,"91,323",Gold,Rear-Wheel Drive,"Escondido, CA","$6,995"
295,F-150,XLT,2001,"192,929",Oxford White,Rear-Wheel Drive,"La Crescenta, CA","$7,995"
296,F-150,XLT,2001,"197,379",Red,Rear-Wheel Drive,"Rosenberg, TX","$11,995"
297,F-150,N/A,2001,"197,912",Red,N/A,"Salem, OR","$5,895"
298,F-150,N/A,2001,"300,000",Brown (TAN),N/A,"Brooksville, FL","$4,995"
299,F-150,N/A,2001,"305,562",Red,N/A,"Upland, CA","$2,995"
300,F-150,XL,2001,"324,409",White,Four-Wheel Drive,"Lincoln, NE","$2,295"
301,F-150,Lariat,2000,"71,041",Oxford White Clearcoat,Rear-Wheel Drive,"Asheboro, NC","$13,828"
302,F-150,Harley-Davidson,2000,"75,569",Black,Rear-Wheel Drive,"Trevor, WI","$17,995"
303,F-150,Work,2000,"77,860",Red,Four-Wheel Drive,"Ontario, CA","$10,995"
304,F-150,N/A,2000,"132,551",White,N/A,"Richmond, VA","$6,595"
305,F-150,N/A,2000,"133,185",White,N/A,"Spring, TX","$11,888"
306,F-150,Lariat,2000,"133,674",light tan,Rear-Wheel Drive,"Johnson City, TN","$7,990"
307,F-150,XLT,2000,"182,171",Gold,Rear-Wheel Drive,"Griffin, GA","$6,990"
308,F-150,Lariat,2000,"197,849",Blue,Four-Wheel Drive,"Bend, OR","$8,995"
309,F-150,XLT,2000,"198,926",Silver Clearcoat,Rear-Wheel Drive,"Tipton, IN","$3,733"
310,F-150,N/A,2000,"209,089",Black,N/A,"Lafayette, IN","$2,600"
311,F-150,Work,2000,"218,000",White,Four-Wheel Drive,"Pilot Mountain, NC","$4,500"
312,F-150,N/A,2000,"239,972",White,N/A,"Lawrenceville, GA","$2,950"
